Cuenta,Concepto,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total año
COSTOS Y GASTOS,,,,,,,,,,,,,,
5110-000,Sueldos y salarios docentes,2750000,2750000,2750000,2750000,2750000,2750000,2750000,2750000,2750000,2750000,2750000,2750000,33000000
5120-000,Prestaciones docentes,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,3360000
5130-000,IMSS/INFONAVIT docentes,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,2040000
5210-000,Sueldos y salarios administrativos,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,780000,9360000
5220-000,Prestaciones administrativos,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,960000
5230-000,IMSS/INFONAVIT administrativos,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,1080000
5300-000,Servicios,266000,266000,280000,280000,294000,196000,168000,280000,294000,294000,280000,238000,3136000
5400-000,Mantenimiento,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,2040000
5500-000,Material didáctico,108000,99000,90000,90000,81000,45000,54000,135000,108000,90000,81000,62999,1043999
5600-000,Marketing,60000,60000,67500,67500,67500,67500,112500,135000,90000,67500,60000,60000,915000
5700-000,Gastos de viaje,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,780000
5800-000,Honorarios profesionales,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,2400000
5900-000,Depreciación,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,2160000
5950-000,Otros gastos,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,900000
,Total costos y gastos,5274000,5265000,5277500,5277500,5282500,5148500,5174500,5390000,5332000,5291500,5261000,5200999,63174999
